Campaign_ID,Influencer_ID,Campaign_Type,Start_Date,End_Date,Budget_USD,Reach,Impressions,Engagement_Rate,Click_Through_Rate,Conversions,ROI
CM1276,218,Product Launch,2024-08-28,2024-09-02,2358.0,293940,383898,7.39,2.67,707,25.4
CM4870,295,Brand Awareness,2024-09-09,2024-09-06,9965.0,647640,672940,,7.58,347,37.03
CM1190,295,Brand Awareness,2024-08-11,2024-08-22,8431.0,13976,73587,4.43,3.13,84,16.88
CM4917,236,Brand Awareness,2024-10-16,2024-10-25,,270156,320879,3.19,8.78,877,27.02
CM4475,323,Affiliate,2024-03-17,2024-03-16,5529.0,195644,387052,0.79,14.6,81,-5.02
CM379,133,Affiliate,2024-04-07,2024-04-17,7511.0,976180,1088522,4.5,4.47,334,57.15
CM1096,335,Product Launch,2024-10-06,2024-10-21,,418236,554082,4.27,0.6,808,37.43
CM684,295,Brand Awareness,2024-04-08,2024-04-07,8114.0,401669,452635,8.33,1.42,164,51.19
CM1585,327,Giveaway,2024-06-04,2024-05-28,3799.0,792042,798425,0.7,9.26,655,54.06
CM4026,335,Product Launch,2024-11-14,2024-11-04,4826.0,989323,997898,8.01,13.13,769,-4.68
CM2871,342,Product Launch,2024-03-31,2024-04-15,2029.0,762380,915895,2.16,5.29,117,46.64
CM3751,317,Product Launch,2024-03-04,2024-03-05,8592.0,857322,956291,8.36,10.21,837,-9.9
CM4516,324,Giveaway,2024-02-07,2024-02-10,8308.0,39718,161435,2.51,7.74,137,18.68
CM4110,344,Brand Awareness,2024-07-15,2024-07-14,5263.0,392470,566970,2.02,9.48,84,22.93
CM4044,331,Giveaway,2024-11-02,2024-10-26,2667.0,210611,224299,9.43,3.56,18,58.91
CM1712,273,Product Launch,2024-07-08,2024-07-11,2061.0,223261,333421,2.02,11.3,996,5.27
CM3294,331,Brand Awareness,2024-12-20,2025-01-03,2202.0,721658,893104,5.91,3.8,820,42.2
CM572,338,Affiliate,2024-07-30,2024-07-25,2207.0,646261,775173,7.9,11.37,381,
CM4831,137,Brand Awareness,2024-04-20,2024-04-10,5814.0,820746,844455,0.77,0.74,516,11.56
CM1680,163,Product Launch,2024-08-29,2024-09-08,9526.0,493426,691322,9.68,5.43,15,45.59
CM1069,296,Product Launch,2024-06-09,2024-06-13,2050.0,855194,898642,7.92,12.42,568,0.46
CM2324,296,Brand Awareness,2024-01-20,2024-01-24,5109.0,442317,506435,2.91,7.59,434,6.52
CM3981,218,Affiliate,2024-10-29,2024-10-25,1687.0,920428,1081664,6.86,14.52,579,-2.64
CM4491,133,Brand Awareness,2024-05-14,2024-05-25,8199.0,232602,381045,9.59,1.15,202,55.54
CM851,250,Brand Awareness,2024-07-06,2024-07-08,4936.0,493807,550852,8.59,9.84,453,47.45
CM4511,334,Product Launch,2024-06-05,2024-06-11,5396.0,365630,462189,,10.94,781,22.77
