Campaign_ID,Influencer_Name,Platform,Campaign_Type,Start_Date,End_Date,Budget_USD,Reach,Impressions,Engagement_Rate,Click_Through_Rate,Conversions,ROI,Region
CM1276,Influencer_Aarav,TikTok,Product Launch,2024-08-28,2024-09-02,2358.0,293940,383898,7.39,2.67,707,25.4,India
CM4870,Influencer_Zane,INSTAGRAM,Brand Awareness,2024-09-09,2024-09-06,9965.0,647640,672940,,7.58,347,37.03,SEA
CM1190,Influencer_Zane,INSTAGRAM,Brand Awareness,2024-08-11,2024-08-22,8431.0,13976,73587,4.43,3.13,84,16.88,India
CM4917,Influencer_Sophia,Instagram,Brand Awareness,2024-10-16,2024-10-25,,270156,320879,3.19,8.78,877,27.02,Europe
CM4475,Influencer_Sophia,X,Affiliate,2024-03-17,2024-03-16,5529.0,195644,387052,0.79,14.6,81,-5.02,North America
CM379,Influencer_Noah,Instagram,Affiliate,2024-04-07,2024-04-17,7511.0,976180,1088522,4.5,4.47,334,57.15,India
CM1096,Influencer_Olivia,Instagram,Product Launch,2024-10-06,2024-10-21,,418236,554082,4.27,0.6,808,37.43,India
CM684,Influencer_Zane,INSTAGRAM,Brand Awareness,2024-04-08,2024-04-07,8114.0,401669,452635,8.33,1.42,164,51.19,Europe
CM1585,Influencer_Ethan,instagram,Giveaway,2024-06-04,2024-05-28,3799.0,792042,798425,0.7,9.26,655,54.06,SEA
CM4026,Influencer_Olivia,Instagram,Product Launch,2024-11-14,2024-11-04,4826.0,989323,997898,8.01,13.13,769,-4.68,India
CM2871,Influencer_Sophia,YouTube,Product Launch,2024-03-31,2024-04-15,2029.0,762380,915895,2.16,5.29,117,46.64,SEA
CM3751,Influencer_Olivia,YouTube,Product Launch,2024-03-04,2024-03-05,8592.0,857322,956291,8.36,10.21,837,-9.9,SEA
CM4516,Influencer_Ethan,Instagram,Giveaway,2024-02-07,2024-02-10,8308.0,39718,161435,2.51,7.74,137,18.68,Middle East
CM4110,Influencer_Olivia,X,Brand Awareness,2024-07-15,2024-07-14,5263.0,392470,566970,2.02,9.48,84,22.93,SEA
